TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=1000, lr=1.000000, lambda=0.000000e+00, n=145, n0=8, n1=10, n2=5, sub_tol=0.001000, sub_maxit=20, tol=1.000000e-08, m=10368 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.948236e+02, 6.167258e+00, 0, 1.311732e-02, 0, 5.852917e+00, 3.011917e-01, 3.207526e-05, 1.811677e-02, 2.621434e-08, 9.987718e-01, -0.000254, 2.000000e+00, 1, 0.018117, 2.621434e-08, 0.000000, 0.000000 
4.006570e+02, 5.833414e+00, 0, 1.205068e-02, 0, 5.516943e+00, 3.043811e-01, 3.849032e-05, 1.786315e-02, 6.916599e-08, 1.000059e+00, -0.000247, 2.000000e+00, 1, 0.017863, 6.916599e-08, 0.000000, 0.000000 
4.072235e+02, 6.566436e+00, 0, 1.208654e-02, 0, 6.249724e+00, 3.045826e-01, 4.257262e-05, 1.761629e-02, 2.461712e-08, 1.000130e+00, -0.000117, 1.000000e+00, 1, 0.017616, 2.461712e-08, 0.000000, 0.000000 
4.136894e+02, 6.465927e+00, 0, 1.243937e-02, 0, 6.147854e+00, 3.055939e-01, 3.936510e-05, 1.749893e-02, 2.239577e-08, 1.000048e+00, -0.000114, 1.000000e+00, 1, 0.017499, 2.239577e-08, 0.000000, 0.000000 
4.207505e+02, 7.061135e+00, 0, 1.267527e-02, 0, 6.729587e+00, 3.188319e-01, 4.140625e-05, 1.738530e-02, 3.634517e-08, 9.999835e-01, -0.000220, 2.000000e+00, 1, 0.017385, 3.634517e-08, 0.000000, 0.000000 
4.281534e+02, 7.402857e+00, 0, 1.396499e-02, 0, 7.081697e+00, 3.071621e-01, 3.382482e-05, 1.716542e-02, 2.723359e-08, 9.997940e-01, -0.000208, 2.000000e+00, 1, 0.017165, 2.723359e-08, 0.000000, 0.000000 
4.342025e+02, 6.049110e+00, 0, 1.222184e-02, 0, 5.730180e+00, 3.066684e-01, 4.023988e-05, 1.695783e-02, 3.436772e-08, 1.000679e+00, -0.000198, 2.000000e+00, 1, 0.016958, 3.436772e-08, 0.000000, 0.000000 
4.403182e+02, 6.115700e+00, 0, 1.284089e-02, 0, 5.798457e+00, 3.043619e-01, 3.936510e-05, 1.675953e-02, 1.869299e-08, 1.000096e+00, -0.000095, 1.000000e+00, 1, 0.016760, 1.869299e-08, 0.000000, 0.000000 
4.451504e+02, 4.832223e+00, 0, 1.265282e-02, 0, 4.513968e+00, 3.055694e-01, 3.324164e-05, 1.666460e-02, 1.864024e-08, 1.000129e+00, -0.000093, 1.000000e+00, 1, 0.016665, 1.864024e-08, 0.000000, 0.000000 
4.519752e+02, 6.824846e+00, 0, 1.240117e-02, 0, 6.506963e+00, 3.054472e-01, 3.528279e-05, 1.657206e-02, 1.856857e-08, 1.000203e+00, -0.000176, 2.000000e+00, 1, 0.016572, 1.856857e-08, 0.000000, 0.000000 
4.589144e+02, 6.939179e+00, 0, 1.243995e-02, 0, 6.623981e+00, 3.027156e-01, 4.315581e-05, 1.639592e-02, 5.990053e-08, 9.989273e-01, -0.000088, 1.000000e+00, 1, 0.016396, 5.990053e-08, 0.000000, 0.000000 
4.653914e+02, 6.476949e+00, 0, 1.274933e-02, 0, 6.160035e+00, 3.041330e-01, 3.236686e-05, 1.630834e-02, 2.744691e-08, 1.000001e+00, -0.000084, 1.000000e+00, 1, 0.016308, 2.744691e-08, 0.000000, 0.000000 
4.712917e+02, 5.900317e+00, 0, 1.304501e-02, 0, 5.567139e+00, 3.200925e-01, 4.111466e-05, 1.622450e-02, 2.514985e-08, 9.999321e-01, -0.000082, 1.000000e+00, 1, 0.016225, 2.514985e-08, 0.000000, 0.000000 
4.765947e+02, 5.303048e+00, 0, 1.220056e-02, 0, 4.986480e+00, 3.043281e-01, 3.907350e-05, 1.614266e-02, 2.379093e-08, 9.999707e-01, -0.000080, 1.000000e+00, 1, 0.016143, 2.379093e-08, 0.000000, 0.000000 
